size,price
56.0,350.0
64.0,285.0
71.0,395.0
280.0,1800.0
107.0,560.0
83.0,495.0
450.0,2690.0
31.0,290.0
44.0,530.0
250.0,2730.0
72.0,630.0
35.0,179.9
103.0,1050.0
145.0,1800.0
52.0,470.0
45.0,163.0
168.0,2100.0
65.0,620.0
39.0,470.0
31.0,230.0
93.0,580.0
62.0,325.0
381.0,6700.0
280.0,4000.0
35.0,370.0
47.0,880.0
241.0,1450.0
144.0,365.0
50.0,290.0
160.0,750.0
120.0,1360.0
225.0,2430.0
46.0,155.9
163.0,1100.0
300.0,1400.0
150.0,4260.0
210.0,2800.0
60.0,410.0
280.0,1000.0
65.0,239.9
70.0,650.0
60.0,495.0
200.0,1600.0
42.0,440.0
49.0,238.0
107.0,870.0
70.0,540.0
607.0,5700.0
82.0,480.0
35.0,330.0
45.0,360.0
30.0,199.784
191.0,1600.0
201.0,4800.0
217.0,3600.0
65.0,230.0
110.0,649.0
66.0,620.0
490.0,3500.0
30.0,220.0
140.0,1300.0
54.0,370.0
72.0,470.0
222.0,1350.0
450.0,2680.0
168.0,1650.0
51.0,550.0
29.0,360.0
40.0,179.0
50.0,299.0
30.0,285.0
448.0,3200.0
300.0,2200.0
150.0,1200.0
170.0,692.0
28.0,219.0
40.0,325.0
84.0,765.0
250.0,1250.0
177.0,1090.0
140.0,650.0
220.0,1100.0
90.0,614.0
46.0,360.0
157.0,290.0
75.0,451.0
43.0,385.0
144.0,1440.0
172.0,1976.0
260.0,1600.0
145.0,1400.0
40.0,210.0
60.0,450.0
180.0,1800.0
33.0,250.5
30.0,415.0
27.0,325.0
33.0,145.0
90.0,700.0
245.0,560.0
194.0,1850.0
55.0,250.0
68.0,340.0
69.0,900.0
200.0,850.0
64.0,545.0
58.0,560.0
298.0,5950.0
55.0,330.0
55.0,249.0
132.0,1160.0
40.0,350.0
200.0,2448.0
58.0,800.0
32.0,330.0
46.0,237.0
60.0,582.72
75.0,550.0
170.0,550.0
327.0,5200.0
364.0,6600.0
46.0,220.0
276.0,2300.0
54.0,210.0
447.0,4900.0
185.0,2113.0
74.0,470.0
55.0,275.0
102.0,585.0
160.0,450.0
71.0,420.0
70.0,1200.0
98.0,705.0
45.0,235.0
82.0,746.0
183.0,790.0
60.0,395.0
105.0,837.0
306.0,10700.0
85.0,520.0
28.0,185.0
150.0,450.0
40.0,215.9
68.0,720.0
100.0,515.0
56.0,530.0
63.0,365.0
36.0,360.5
118.0,400.0
110.0,720.0
88.0,720.0
55.0,297.0
74.0,429.0
64.0,640.0
44.0,197.0
205.0,2000.0
109.0,1000.0
70.0,530.0
67.0,595.0
